algorithm,representation,k,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_share,singleton_clusters,structurally_viable,ari_category,nmi_category,v_measure_category,ari_subcategory,nmi_subcategory,v_measure_subcategory
gower_pam,gower_mixed,4,0.144187,2.563144,79.593623,87,0.479245,0,1,0.135609,0.245055,0.245055,0.078539,0.203341,0.203341
gower_pam,gower_mixed,5,0.14701,2.556487,69.678388,58,0.421384,0,1,0.16689,0.283636,0.283636,0.106445,0.245306,0.245306
gower_pam,gower_mixed,6,0.132927,2.615949,62.316074,58,0.398742,0,1,0.157084,0.287032,0.287032,0.08701,0.257174,0.257174
gower_pam,gower_mixed,7,0.120837,2.766896,52.982531,42,0.426415,0,1,0.151889,0.286138,0.286138,0.081233,0.258883,0.258883
gower_pam,gower_mixed,8,0.151976,2.457018,56.903083,44,0.32956,0,1,0.145978,0.298228,0.298228,0.155409,0.320333,0.320333
gower_pam,gower_mixed,9,0.151407,2.416852,52.86672,40,0.296855,0,1,0.135115,0.29437,0.29437,0.168805,0.331693,0.331693
gower_pam,gower_mixed,10,0.150909,2.362785,47.778651,4,0.290566,0,0,0.135035,0.293377,0.293377,0.170384,0.33338,0.33338
gower_pam,gower_mixed,11,0.1439,2.463369,44.558995,4,0.277987,0,0,0.134132,0.30393,0.30393,0.167352,0.342969,0.342969
gower_pam,gower_mixed,12,0.131651,2.522944,41.30757,4,0.285535,0,0,0.106297,0.280854,0.280854,0.147707,0.327188,0.327188
gower_hierarchical,gower_mixed,4,0.142925,1.050902,3.472612,1,0.993711,2,0,0.00321,0.012269,0.012269,0.000999,0.010276,0.010276
gower_hierarchical,gower_mixed,5,0.165734,1.285228,35.541784,1,0.792453,2,0,0.260106,0.330692,0.330692,0.105802,0.255119,0.255119
gower_hierarchical,gower_mixed,6,0.145905,1.283467,29.169843,1,0.789937,2,0,0.260167,0.328878,0.328878,0.105465,0.255293,0.255293
gower_hierarchical,gower_mixed,7,0.136512,1.332119,30.507434,1,0.752201,2,0,0.235968,0.308123,0.308123,0.096498,0.258651,0.258651
gower_hierarchical,gower_mixed,8,0.107582,1.258525,26.416602,1,0.752201,3,0,0.234937,0.306987,0.306987,0.095318,0.258106,0.258106
gower_hierarchical,gower_mixed,9,0.080517,1.354513,23.909343,1,0.745912,3,0,0.227047,0.304448,0.304448,0.094674,0.261709,0.261709
gower_hierarchical,gower_mixed,10,0.071314,1.429881,22.713661,1,0.745912,3,0,0.224619,0.308691,0.308691,0.089369,0.268323,0.268323
gower_hierarchical,gower_mixed,11,0.069691,1.439844,21.139642,1,0.745912,3,0,0.220628,0.305347,0.305347,0.084852,0.266688,0.266688
gower_hierarchical,gower_mixed,12,0.059956,1.346509,19.467079,1,0.745912,4,0,0.220625,0.305634,0.305634,0.084856,0.268064,0.268064
structured_kmeans,structured_onehot,4,0.137595,1.71037,112.282724,1,0.408805,1,0,0.183155,0.216599,0.216599,0.124477,0.183786,0.183786
structured_kmeans,structured_onehot,5,0.139338,1.710489,106.259926,1,0.377358,1,0,0.139307,0.185723,0.185723,0.109485,0.172875,0.172875
structured_kmeans,structured_onehot,6,0.124321,1.727263,99.699297,1,0.309434,1,0,0.085897,0.137041,0.137041,0.077054,0.136632,0.136632
structured_kmeans,structured_onehot,7,0.125457,1.687239,92.901563,1,0.269182,1,0,0.075071,0.134408,0.134408,0.077797,0.143119,0.143119
structured_kmeans,structured_onehot,8,0.131294,1.678702,88.577812,1,0.244025,1,0,0.071835,0.130533,0.130533,0.071128,0.142226,0.142226
structured_kmeans,structured_onehot,9,0.133409,1.709831,83.088984,1,0.249057,1,0,0.060385,0.130676,0.130676,0.055432,0.148476,0.148476
structured_kmeans,structured_onehot,10,0.127413,1.778483,77.819401,1,0.251572,1,0,0.079605,0.172002,0.172002,0.086437,0.19157,0.19157
structured_kmeans,structured_onehot,11,0.111855,1.849299,73.816228,1,0.158491,1,0,0.094765,0.203995,0.203995,0.093626,0.212257,0.212257
structured_kmeans,structured_onehot,12,0.121168,1.786954,70.404223,1,0.21761,1,0,0.06942,0.169843,0.169843,0.074267,0.192056,0.192056
text_tfidf_svd_kmeans,tfidf_svd,4,0.0974,4.007522,28.772957,33,0.342138,0,1,0.222571,0.317526,0.317526,0.257855,0.366302,0.366302
text_tfidf_svd_kmeans,tfidf_svd,5,0.114824,3.435278,27.912115,20,0.361006,0,1,0.279552,0.380139,0.380139,0.260274,0.383546,0.383546
text_tfidf_svd_kmeans,tfidf_svd,6,0.113245,3.542674,27.218254,32,0.256604,0,1,0.278636,0.385912,0.385912,0.254231,0.371583,0.371583
text_tfidf_svd_kmeans,tfidf_svd,7,0.118855,3.46245,25.88699,32,0.196226,0,1,0.24234,0.393385,0.393385,0.3151,0.431448,0.431448
text_tfidf_svd_kmeans,tfidf_svd,8,0.127556,3.268579,25.211604,32,0.242767,0,1,0.204708,0.366753,0.366753,0.245703,0.394366,0.394366
text_tfidf_svd_kmeans,tfidf_svd,9,0.146282,2.984244,25.119779,20,0.194969,0,1,0.207883,0.386947,0.386947,0.260204,0.423855,0.423855
text_tfidf_svd_kmeans,tfidf_svd,10,0.134293,3.139409,23.356217,32,0.207547,0,1,0.161894,0.337671,0.337671,0.238342,0.388521,0.388521
text_tfidf_svd_kmeans,tfidf_svd,11,0.156233,2.929475,23.801917,20,0.172327,0,1,0.193876,0.37288,0.37288,0.273356,0.422265,0.422265
text_tfidf_svd_kmeans,tfidf_svd,12,0.161819,2.869681,23.155353,20,0.12956,0,1,0.171334,0.36333,0.36333,0.25477,0.417021,0.417021
